run_id,firm_id,incarnation,fyearq,fqtr,saleq,cogsq,gpq,xrdq,xsgaq,dpq,oiadpq,xintq,piq,txtq,niq,cheq,rectq,invtq,ppentq,atq,apq,acoq,txpq,dlcq,lctq,dlttq,ltq,cstkq,apicq,ceqq,req,tstkq,oancfq,ivncfq,fincfq,chechq,capxq,sstkq,prstkq,dvq,prccq,cshoq,mkvaltq,default_flag,empq
run_1775877722,firm_1,1,2031,4,18800000,2714695.8424620056,16085304.157537995,17000000,9000000,1000000.0,-10914695.842462005,0.0,-10914695.842462005,0.0,-10914695.842462005,265477054.5658357,2820000.0,0.0,41750000.0,310047054.5658357,407204.3763693008,2600000.0,0.0,0.0,3007204.3763693008,0.0,3007204.3763693008,10000.0,349990000.0,307039850.1894664,-42960149.81053357,0.0,-9915967.503778039,-5000000,0.0,-14915967.503778039,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_2,1,2031,4,20160000,2895609.2940329714,17264390.705967028,19000000,10000000,1000000.0,-12735609.294032972,0.0,-12735609.294032972,0.0,-12735609.294032972,258297808.26882032,3024000.0,0.0,41750000.0,303071808.2688203,434341.3941049457,2900000.0,0.0,0.0,3334341.3941049455,0.0,3334341.3941049455,10000.0,349990000.0,299737466.8747154,-50262533.12528461,0.0,-11737339.754626354,-5000000,0.0,-16737339.754626354,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_3,1,2031,4,21560000,2944122.8791355616,18615877.12086444,21000000,11000000,1000000.0,-14384122.87913556,0.0,-14384122.87913556,0.0,-14384122.87913556,251784450.12183595,3234000.0,0.0,41750000.0,296768450.12183595,441618.43187033426,3200000.0,0.0,0.0,3641618.4318703343,0.0,3641618.4318703343,10000.0,349990000.0,293126831.68996567,-56873168.31003435,0.0,-13386256.632460663,-5000000,0.0,-18386256.63246066,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_4,1,2031,4,23000000,3271627.9789387067,19728372.021061294,23000000,12000000,1000000.0,-16271627.978938706,0.0,-16271627.978938706,0.0,-16271627.978938706,244340966.44877195,3450000.0,0.0,41750000.0,289540966.44877195,490744.196840806,3500000.0,0.0,0.0,3990744.196840806,0.0,3990744.196840806,10000.0,349990000.0,285550222.2519311,-64449777.7480689,0.0,-15274408.387665763,-5000000,0.0,-20274408.387665763,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_0,1,2032,1,17480000,2876827.8541394575,14603172.145860542,15000000,8000000,1125000.0,-9521827.854139458,0.0,-9521827.854139458,0.0,-9521827.854139458,258060566.5547553,2622000.0,0.0,45625000.0,306307566.55475533,431524.17812091863,2300000.0,0.0,0.0,2731524.1781209186,0.0,2731524.1781209186,10000.0,349990000.0,303576042.3766345,-46423957.62336555,0.0,-8397790.001818864,-5000000,0.0,-13397790.001818864,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_1,1,2032,1,18800000,2706340.8369645053,16093659.163035495,17000000,9000000,1125000.0,-11031340.836964505,0.0,-11031340.836964505,0.0,-11031340.836964505,250569460.4780466,2820000.0,0.0,45625000.0,299014460.4780466,405951.1255446758,2600000.0,0.0,0.0,3005951.1255446756,0.0,3005951.1255446756,10000.0,349990000.0,296008509.3525019,-53991490.64749807,0.0,-9907594.08778913,-5000000,0.0,-14907594.08778913,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_2,1,2032,1,20160000,2884287.182382844,17275712.817617156,19000000,10000000,1125000.0,-12849287.182382844,0.0,-12849287.182382844,0.0,-12849287.182382844,241571822.76968995,3024000.0,0.0,45625000.0,290220822.7696899,432643.0773574266,2900000.0,0.0,0.0,3332643.0773574268,0.0,3332643.0773574268,10000.0,349990000.0,286888179.69233257,-63111820.30766746,0.0,-11725985.499130363,-5000000,0.0,-16725985.499130363,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_3,1,2032,1,21560000,2930220.1401272495,18629779.85987275,21000000,11000000,1125000.0,-14495220.140127249,0.0,-14495220.140127249,0.0,-14495220.140127249,233412144.57085747,3234000.0,0.0,45625000.0,282271144.57085747,439533.0210190874,3200000.0,0.0,0.0,3639533.021019087,0.0,3639533.021019087,10000.0,349990000.0,278631611.5498384,-71368388.4501616,0.0,-13372305.550978497,-5000000,0.0,-18372305.550978497,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_4,1,2032,1,23000000,3253587.2017960246,19746412.798203975,23000000,12000000,1125000.0,-16378587.201796025,0.0,-16378587.201796025,0.0,-16378587.201796025,224084673.13040453,3450000.0,0.0,45625000.0,273159673.13040453,488038.08026940364,3500000.0,0.0,0.0,3988038.0802694038,0.0,3988038.0802694038,10000.0,349990000.0,269171635.0501351,-80828364.94986492,0.0,-15256293.318367427,-5000000,0.0,-20256293.31836743,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_0,1,2031,1,24000000,3426924.863259784,20573075.136740215,10000000,20000000,625000.0,-10051924.863259785,0.0,-10051924.863259785,0.0,-10051924.863259785,315344325.33026004,3600000.0,142788.53596915767,24375000.0,343462113.8662292,514038.72948896757,3000000.0,0.0,0.0,3514038.7294889675,0.0,3514038.7294889675,10000.0,349990000.0,339948075.1367402,-10051924.863259785,0.0,-9655674.669739975,-0.0,0.0,-9655674.669739975,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877895,firm_1,1,2031,1,18000000,2740504.5171935204,15259495.48280648,10000000,30000000,625000.0,-25365504.51719352,0.0,-25365504.51719352,0.0,-25365504.51719352,301970571.1603855,2700000.0,0.0,24375000.0,329045571.1603855,411075.67757902807,4000000.0,0.0,0.0,4411075.6775790285,0.0,4411075.6775790285,10000.0,349990000.0,324634495.4828065,-25365504.51719352,0.0,-23029428.839614492,-0.0,0.0,-23029428.839614492,0.0,0.0,0,0.0,35.0,10.0,350000000.0,0,0
